Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,48.99900% to 51.00%,48.99900% to 51.00%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,5
Label,,
TIME,CH1,CH2
-7.01000e-07,0.02,0.3
-7.00000e-07,-0.02,0.5
-6.99000e-07,0.02,0.3
-6.98000e-07,-0.02,0.5
-6.97000e-07,-0.02,0.3
-6.96000e-07,-0.02,0.5
-6.95000e-07,-0.02,0.3
-6.94000e-07,-0.02,0.3
-6.93000e-07,0.02,0.3
-6.92000e-07,-0.02,0.3
-6.91000e-07,0.02,0.3
-6.90000e-07,0.02,0.3
-6.89000e-07,0.02,0.3
-6.88000e-07,-0.02,0.3
-6.87000e-07,0.02,0.3
-6.86000e-07,-0.02,0.3
-6.85000e-07,-0.02,0.3
-6.84000e-07,-0.02,0.3
-6.83000e-07,-0.02,0.3
-6.82000e-07,-0.02,0.3
-6.81000e-07,-0.02,0.3
-6.80000e-07,-0.02,0.3
-6.79000e-07,-0.02,0.3
-6.78000e-07,-0.02,0.5
-6.77000e-07,-0.02,0.3
-6.76000e-07,-0.06,0.5
-6.75000e-07,-0.02,0.3
-6.74000e-07,-0.02,0.5
-6.73000e-07,-0.02,0.3
-6.72000e-07,-0.02,0.3
-6.71000e-07,-0.02,0.3
-6.70000e-07,-0.02,0.3
-6.69000e-07,-0.02,0.3
-6.68000e-07,-0.02,0.3
-6.67000e-07,0.02,0.3
-6.66000e-07,-0.02,0.3
-6.65000e-07,0.02,0.3
-6.64000e-07,-0.02,0.3
-6.63000e-07,0.02,0.5
-6.62000e-07,-0.02,0.3
-6.61000e-07,0.02,0.5
-6.60000e-07,-0.02,0.3
-6.59000e-07,0.02,0.3
-6.58000e-07,-0.02,0.3
-6.57000e-07,-0.02,0.3
-6.56000e-07,-0.02,0.3
-6.55000e-07,-0.02,0.3
-6.54000e-07,-0.02,0.5
-6.53000e-07,0.02,0.3
-6.52000e-07,-0.02,0.5
-6.51000e-07,-0.02,0.3
-6.50000e-07,-0.02,0.3
-6.49000e-07,-0.02,0.3
-6.48000e-07,-0.02,0.5
-6.47000e-07,-0.02,0.3
-6.46000e-07,-0.02,0.5
-6.45000e-07,0.02,0.3
-6.44000e-07,-0.02,0.3
-6.43000e-07,0.02,0.3
-6.42000e-07,-0.02,0.3
-6.41000e-07,0.02,0.3
-6.40000e-07,-0.02,0.3
-6.39000e-07,-0.02,0.3
-6.38000e-07,-0.02,0.3
-6.37000e-07,-0.02,0.3
-6.36000e-07,-0.02,0.3
-6.35000e-07,-0.02,0.3
-6.34000e-07,-0.02,0.3
-6.33000e-07,-0.02,0.3
-6.32000e-07,-0.02,0.3
-6.31000e-07,-0.02,0.3
-6.30000e-07,-0.02,0.3
-6.29000e-07,-0.02,0.3
-6.28000e-07,-0.02,0.3
-6.27000e-07,-0.02,0.3
-6.26000e-07,-0.02,0.3
-6.25000e-07,-0.02,0.3
-6.24000e-07,-0.02,0.3
-6.23000e-07,0.02,0.3
-6.22000e-07,0.02,0.3
-6.21000e-07,0.02,0.3
-6.20000e-07,-0.02,0.3
-6.19000e-07,-0.02,0.3
-6.18000e-07,-0.02,0.3
-6.17000e-07,-0.02,0.3
-6.16000e-07,-0.02,0.3
-6.15000e-07,0.02,0.3
-6.14000e-07,-0.02,0.5
-6.13000e-07,-0.02,0.3
-6.12000e-07,-0.02,0.5
-6.11000e-07,-0.02,0.3
-6.10000e-07,-0.02,0.3
-6.09000e-07,-0.02,0.3
-6.08000e-07,-0.02,0.3
-6.07000e-07,-0.02,0.3
-6.06000e-07,-0.02,0.5
-6.05000e-07,0.02,0.3
-6.04000e-07,-0.02,0.5
-6.03000e-07,0.02,0.3
-6.02000e-07,-0.02,0.5
-6.01000e-07,-0.02,0.3
-6.00000e-07,-0.02,0.3
-5.99000e-07,-0.02,0.3
-5.98000e-07,-0.02,0.5
-5.97000e-07,-0.02,0.3
-5.96000e-07,-0.02,0.5
-5.95000e-07,0.02,0.3
-5.94000e-07,-0.02,0.3
-5.93000e-07,0.02,0.3
-5.92000e-07,-0.02,0.3
-5.91000e-07,0.02,0.3
-5.90000e-07,-0.02,0.3
-5.89000e-07,-0.02,0.3
-5.88000e-07,-0.02,0.3
-5.87000e-07,-0.02,0.3
-5.86000e-07,-0.02,0.5
-5.85000e-07,-0.02,0.3
-5.84000e-07,-0.02,0.3
-5.83000e-07,-0.02,0.3
-5.82000e-07,-0.02,0.3
-5.81000e-07,-0.02,0.3
-5.80000e-07,-0.02,0.3
-5.79000e-07,-0.02,0.3
-5.78000e-07,-0.02,0.3
-5.77000e-07,-0.02,0.3
-5.76000e-07,-0.02,0.3
-5.75000e-07,-0.02,0.3
-5.74000e-07,-0.02,0.3
-5.73000e-07,0.02,0.3
-5.72000e-07,-0.02,0.3
-5.71000e-07,0.02,0.3
-5.70000e-07,-0.02,0.3
-5.69000e-07,0.02,0.3
-5.68000e-07,-0.02,0.3
-5.67000e-07,-0.02,0.3
-5.66000e-07,-0.02,0.3
-5.65000e-07,0.02,0.3
-5.64000e-07,-0.02,0.3
-5.63000e-07,0.02,0.3
-5.62000e-07,-0.02,0.3
-5.61000e-07,0.02,0.3
-5.60000e-07,-0.02,0.3
-5.59000e-07,-0.02,0.3
-5.58000e-07,-0.02,0.3
-5.57000e-07,0.02,0.3
-5.56000e-07,-0.02,0.3
-5.55000e-07,0.02,0.5
-5.54000e-07,-0.02,0.3
-5.53000e-07,0.02,0.3
-5.52000e-07,-0.02,0.3
-5.51000e-07,0.02,0.3
-5.50000e-07,-0.02,0.3
-5.49000e-07,0.02,0.3
-5.48000e-07,0.02,0.3
-5.47000e-07,0.02,0.3
-5.46000e-07,0.02,0.3
-5.45000e-07,0.02,0.5
-5.44000e-07,0.02,0.3
-5.43000e-07,0.02,0.3
-5.42000e-07,-0.02,0.3
-5.41000e-07,0.02,0.5
-5.40000e-07,-0.02,0.3
-5.39000e-07,0.02,0.3
-5.38000e-07,-0.02,0.3
-5.37000e-07,-0.02,0.3
-5.36000e-07,-0.02,0.3
-5.35000e-07,-0.02,0.3
-5.34000e-07,-0.02,0.3
-5.33000e-07,-0.02,0.0999999
-5.32000e-07,0.02,0.3
-5.31000e-07,0.02,0.3
-5.30000e-07,-0.02,0.3
-5.29000e-07,-0.02,0.3
-5.28000e-07,-0.02,0.3
-5.27000e-07,-0.02,0.3
-5.26000e-07,-0.02,0.3
-5.25000e-07,-0.02,0.3
-5.24000e-07,-0.02,0.3
-5.23000e-07,0.02,0.3
-5.22000e-07,-0.02,0.3
-5.21000e-07,-0.02,0.3
-5.20000e-07,-0.02,0.5
-5.19000e-07,-0.02,0.3
-5.18000e-07,-0.02,0.5
-5.17000e-07,-0.02,0.3
-5.16000e-07,-0.02,0.3
-5.15000e-07,-0.02,0.3
