Model,MSO2024
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,49.49900% to 50.500%,49.49900% to 50.500%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Label,,
TIME,CH1,CH2
-2.01000e-07,-0.04,0.4
-2.00000e-07,-0.12,0.4
-1.99000e-07,-0.04,0.4
-1.98000e-07,-0.04,0.4
-1.97000e-07,-0.04,0.2
-1.96000e-07,-0.04,0.4
-1.95000e-07,-0.04,0.4
-1.94000e-07,-0.12,0.4
-1.93000e-07,-0.04,0.4
-1.92000e-07,-0.04,0.4
-1.91000e-07,0.04,0.2
-1.90000e-07,-0.04,0.4
-1.89000e-07,-0.04,0.2
-1.88000e-07,-0.04,0.4
-1.87000e-07,-0.04,0.2
-1.86000e-07,-0.12,0.4
-1.85000e-07,-0.04,0.4
-1.84000e-07,-0.12,0.4
-1.83000e-07,-0.04,0.4
-1.82000e-07,-0.12,0.4
-1.81000e-07,-0.04,0.4
-1.80000e-07,-0.12,0.4
-1.79000e-07,-0.04,0.4
-1.78000e-07,-0.12,0.2
-1.77000e-07,-0.04,0.2
-1.76000e-07,-0.12,0.2
-1.75000e-07,-0.04,0.4
-1.74000e-07,-0.04,0.4
-1.73000e-07,-0.04,0.4
-1.72000e-07,-0.04,0.4
-1.71000e-07,-0.04,0.4
-1.70000e-07,-0.04,0.4
-1.69000e-07,-0.04,0.4
-1.68000e-07,-0.04,0.4
-1.67000e-07,-0.04,0.4
-1.66000e-07,-0.12,0.4
-1.65000e-07,-0.04,0.4
-1.64000e-07,-0.04,0.4
-1.63000e-07,-0.04,0.4
-1.62000e-07,-0.12,0.4
-1.61000e-07,-0.04,0.4
-1.60000e-07,-0.12,0.4
-1.59000e-07,-0.04,0.4
-1.58000e-07,-0.04,0.4
-1.57000e-07,-0.04,0.4
-1.56000e-07,-0.04,0.4
-1.55000e-07,0.04,0.4
-1.54000e-07,-0.04,0.4
-1.53000e-07,-0.04,0.4
-1.52000e-07,-0.12,0.4
-1.51000e-07,-0.04,0.2
-1.50000e-07,-0.12,0.4
-1.49000e-07,-0.04,0.4
-1.48000e-07,-0.12,0.4
-1.47000e-07,-0.04,0.4
-1.46000e-07,-0.12,0.4
-1.45000e-07,-0.04,0.4
-1.44000e-07,-0.12,0.4
-1.43000e-07,-0.04,0.4
-1.42000e-07,-0.12,0.4
-1.41000e-07,-0.04,0.4
-1.40000e-07,-0.12,0.4
-1.39000e-07,-0.04,0.4
-1.38000e-07,-0.04,0.4
-1.37000e-07,-0.04,0.4
-1.36000e-07,-0.04,0.4
-1.35000e-07,-0.04,0.4
-1.34000e-07,-0.04,0.4
-1.33000e-07,-0.04,0.4
-1.32000e-07,-0.12,0.4
-1.31000e-07,-0.04,0.4
-1.30000e-07,-0.12,0.4
-1.29000e-07,-0.04,0.4
-1.28000e-07,-0.12,0.4
-1.27000e-07,-0.04,0.4
-1.26000e-07,-0.12,0.2
-1.25000e-07,-0.04,0.4
-1.24000e-07,-0.12,0.4
-1.23000e-07,-0.04,0.4
-1.22000e-07,-0.04,0.4
-1.21000e-07,-0.04,0.4
-1.20000e-07,-0.04,0.4
-1.19000e-07,-0.04,0.4
-1.18000e-07,-0.12,0.4
-1.17000e-07,-0.04,0.4
-1.16000e-07,-0.12,0.4
-1.15000e-07,-0.04,0.4
-1.14000e-07,-0.12,0.4
-1.13000e-07,-0.04,0.2
-1.12000e-07,-0.04,0.4
-1.11000e-07,-0.04,0.4
-1.10000e-07,-0.12,0.4
-1.09000e-07,-0.04,0.2
-1.08000e-07,-0.04,0.4
-1.07000e-07,-0.04,0.2
-1.06000e-07,-0.12,0.4
-1.05000e-07,-0.04,0.4
-1.04000e-07,-0.12,0.4
-1.03000e-07,-0.04,0.4
-1.02000e-07,-0.12,0.4
-1.01000e-07,-0.04,0.4
-1.00000e-07,-0.12,0.4
-9.90000e-08,-0.04,0.4
-9.80000e-08,-0.04,0.4
-9.70000e-08,-0.04,0.4
-9.60000e-08,-0.12,0.4
-9.50000e-08,-0.04,0.4
-9.40000e-08,-0.04,0.4
-9.30000e-08,-0.04,0.4
-9.20000e-08,-0.04,0.4
-9.10000e-08,-0.04,0.2
-9.00000e-08,-0.04,0.4
-8.90000e-08,-0.04,0.2
-8.80000e-08,-0.12,0.4
-8.70000e-08,-0.04,0.2
-8.60000e-08,-0.12,0.4
-8.50000e-08,-0.12,0.4
-8.40000e-08,-0.12,0.4
-8.30000e-08,-0.04,0.4
-8.20000e-08,-0.12,0.4
-8.10000e-08,-0.04,0.2
-8.00000e-08,-0.04,0.4
-7.90000e-08,-0.04,0.2
-7.80000e-08,-0.04,0.4
-7.70000e-08,-0.04,0.4
-7.60000e-08,-0.04,0.4
-7.50000e-08,-0.04,0.2
-7.40000e-08,-0.04,0.4
-7.30000e-08,-0.04,0.4
-7.20000e-08,-0.12,0.4
-7.10000e-08,-0.04,0.4
-7.00000e-08,-0.12,0.4
-6.90000e-08,-0.04,0.4
-6.80000e-08,-0.12,0.4
-6.70000e-08,-0.04,0.4
-6.60000e-08,-0.12,0.4
-6.50000e-08,-0.12,0.4
-6.40000e-08,-0.12,0.4
-6.30000e-08,-0.04,0.4
-6.20000e-08,-0.04,0.4
-6.10000e-08,-0.04,0.4
-6.00000e-08,-0.12,0.4
-5.90000e-08,-0.12,0.4
-5.80000e-08,-0.12,0.4
-5.70000e-08,-0.04,0.4
-5.60000e-08,-0.12,0.4
-5.50000e-08,-0.04,0.2
-5.40000e-08,-0.04,0.2
-5.30000e-08,-0.04,0.4
-5.20000e-08,-0.12,0.4
-5.10000e-08,-0.12,0.4
-5.00000e-08,-0.12,0.4
-4.90000e-08,-0.04,0.4
-4.80000e-08,-0.12,0.4
-4.70000e-08,-0.04,0.4
-4.60000e-08,-0.04,0.4
-4.50000e-08,-0.04,0.4
-4.40000e-08,-0.04,0.4
-4.30000e-08,-0.04,0.4
-4.20000e-08,-0.12,0.4
-4.10000e-08,-0.04,0.2
-4.00000e-08,-0.12,0.4
-3.90000e-08,-0.12,0.2
-3.80000e-08,-0.12,0.4
-3.70000e-08,-0.04,0.2
-3.60000e-08,-0.12,0.2
-3.50000e-08,-0.12,0.4
-3.40000e-08,-0.12,0.4
-3.30000e-08,-0.04,0.4
-3.20000e-08,-0.12,0.4
-3.10000e-08,-0.04,0.4
-3.00000e-08,-0.12,0.4
-2.90000e-08,-0.12,0.4
-2.80000e-08,-0.12,0.4
-2.70000e-08,-0.12,0.4
-2.60000e-08,-0.12,0.4
-2.50000e-08,-0.04,0.4
-2.40000e-08,-0.04,0.4
-2.30000e-08,-0.04,0.4
-2.20000e-08,-0.04,0.4
-2.10000e-08,-0.04,0.4
-2.00000e-08,-0.12,0.4
-1.90000e-08,-0.04,0.4
-1.80000e-08,-0.04,0.4
